Region,Stringency,Date:,20200507
Australia,63.81
Brazil,77.62
Canada,76.43
China,56.9
France,92.38
Germany,63.81
Hong Kong,72.14
India,77.62
Indonesia,72.86
Iran,64.29
Italy,65.24
Japan,59.76
Malaysia,76.43
Mexico,84.76
Middle East,82.453,,DZA,Algeria,85.95,BHR,Bahrain,85.24,EGY,Egypt,nan,ISR,Israel,81.67,JOR,Jordan,81.67,KWT,Kuwait,90.0,LBN,Lebanon,nan,LBY,Libya,72.14,OMN,Oman,85.24,PSE,Palestine,97.14,SAU,Saudi Arabia,86.43,SYR,Syria,nan,TUN,Tunisia,nan,TUR,Turkey,nan,YEM,Yemen,59.05,average,82.453,
Nigeria,84.05
Rest of Africa,73.11137931034484,,BEN,Benin,62.86,BWA,Botswana,87.62,BFA,Burkina Faso,nan,BDI,Burundi,22.86,CPV,Cabo Verde,72.14,CMR,Cameroon,73.33,CAF,Central African Republic,71.67,TCD,Chad,92.38,COM,Comoros,nan,CIV,Cote d'Ivoire,88.81,COD,Democratic Republic of the Congo,80.48,DJI,Djibouti,97.14,ERI,Eritrea,nan,SWZ,Eswatini,nan,ETH,Ethiopia,74.76,GMB,Gambia,87.62,GHA,Ghana,70.95,GIN,Guinea,nan,GNB,Guinea-Bissau,nan,KEN,Kenya,88.81,LSO,Lesotho,74.05,LBR,Liberia,76.43,MDG,Madagascar,57.86,MWI,Malawi,62.14,MLI,Mali,nan,MRT,Mauritania,75.71,MUS,Mauritius,nan,MAR,Morocco,nan,MOZ,Mozambique,55.71,NAM,Namibia,62.14,NER,Niger,nan,RWA,Rwanda,72.14,STP,Sao Tome and Principe,nan,SEN,Senegal,nan,SYC,Seychelles,74.52,SLE,Sierra Leone,78.1,SOM,Somalia,61.43,SSD,South Sudan,92.38,SDN,Sudan,85.24,TGO,Togo,nan,UGA,Uganda,nan,TZA,Tanzania,51.43,ZMB,Zambia,69.52,EAZ,Zanzibar,nan,ZWE,Zimbabwe,nan,average,73.11137931034484,
Rest of Central America,82.81666666666665,,AIA,Anguilla,nan,ATG,Antigua and Barbuda,nan,ABW,Aruba,nan,BHS,Bahamas,nan,BRB,Barbados,79.52,BLZ,Belize,nan,BMU,Bermuda,69.76,VGB,British Virgin Islands,nan,CYM,Cayman Islands,nan,CRI,Costa Rica,79.29,CUB,Cuba,97.14,CUW,Curacao,nan,DMA,Dominica,79.29,DOM,Dominican Republic,97.14,SLV,El Salvador,97.14,GRD,Grenada,nan,GTM,Guatemala,97.14,HTI,Haiti,nan,HND,Honduras,97.14,JAM,Jamaica,nan,MSR,Montserrat,nan,NIC,Nicaragua,14.29,PAN,Panama,nan,PRI,Puerto Rico,93.57,KNA,Saint Kitts and Nevis,nan,LCA,Saint Lucia,nan,VCT,Saint Vincent and the Grenadines,nan,SXM,Sint Maarten,nan,TTO,Trinidad and Tobago,92.38,TCA,Turks and Caicos Islands,nan,average,82.81666666666665,
Rest of East Asia,85.24,,PRK,North Korea,nan,MNG,Mongolia,85.24,average,85.24,
Rest of EU,80.16823529411765,,AND,Andorra,74.05,AUT,Austria,65.24,BEL,Belgium,nan,BGR,Bulgaria,65.71,HRV,Croatia,88.81,CYP,Cyprus,93.57,CZE,Czech Republic,66.43,EST,Estonia,73.57,GRC,Greece,75.95,HUN,Hungary,nan,IRL,Ireland,87.86,LVA,Latvia,nan,LTU,Lithuania,nan,LUX,Luxembourg,76.19,MLT,Malta,nan,NLD,Netherlands,85.95,POL,Poland,88.81,PRT,Portugal,81.19,ROU,Romania,85.24,SMR,San Marino,83.1,SVK,Slovakia,80.48,SVN,Slovenia,90.71,average,80.16823529411765,
Rest of Europe,78.155,,ALB,Albania,85.24,BIH,Bosnia and Herzegovina,76.43,LIE,Liechtenstein,nan,MCO,Monaco,nan,MNE,Montenegro,nan,MKD,North Macedonia,nan,SRB,Serbia,93.57,CHE,Switzerland,57.38,average,78.155,
Rest of FSU,89.405,,ARM,Armenia,nan,AZE,Azerbaijan,nan,BLR,Belarus,nan,GEO,Georgia,93.57,KAZ,Kazakhstan,85.24,KGZ,Kyrgyzstan,81.67,MDA,Moldova,nan,TJK,Tajikistan,nan,TKM,Turkmenistan,nan,UKR,Ukraine,nan,UZB,Uzbekistan,97.14,average,89.405,
