Region,Stringency,Date:,20200529
Rest of South Asia,87.38199999999999,,AFG,Afghanistan,83.33,BGD,Bangladesh,96.43,BTN,Bhutan,91.67,MDV,Maldives,nan,NPL,Nepal,nan,PAK,Pakistan,88.1,LKA,Sri Lanka,77.38,average,87.38199999999999,
Rest of South East Asia,71.545,,BRN,Brunei,63.81,KHM,Cambodia,60.71,LAO,Lao People's Democratic Republic,60.71,MMR,Myanmar,79.76,PHL,Philippines,86.9,VNM,Vietnam,77.38,average,71.545,
Russia,nan
Scandinavia,63.93000000000001,,DNK,Denmark,76.9,FIN,Finland,64.29,GRL,Greenland,72.62,ISL,Iceland,46.43,NOR,Norway,63.1,SWE,Sweden,60.24,average,63.93000000000001,
Singapore,84.52
South Africa,nan
South Korea,59.05
Spain,85.24
Taiwan,28.57
Thailand,78.57
UAE,83.33
UK,72.62
USA,72.14
