"United Arab Emirates March 29, 2020"
,Parks,-40%,Sun Feb 16,Sun Mar 29
,Transit stations,-38%,Sun Feb 16,Sun Mar 29
,Workplaces,-25%,Sun Feb 16,Sun Mar 29
,Residential,+16%,Sun Feb 16,Sun Mar 29
"Benin March 29, 2020"
,Retail & recreation,-16%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,+40%,Sun Feb 16,Sun Mar 29
,Transit stations,-14%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Bolivia March 29, 2020"
,Retail & recreation,-93%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-94%,Sun Feb 16,Sun Mar 29
,Parks,-89%,Sun Feb 16,Sun Mar 29
,Transit stations,-92%,Sun Feb 16,Sun Mar 29
,Workplaces,-72%,Sun Feb 16,Sun Mar 29
,Residential,+35%,Sun Feb 16,Sun Mar 29
"Brazil March 29, 2020"
,Retail & recreation,-71%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-35%,Sun Feb 16,Sun Mar 29
,Parks,-70%,Sun Feb 16,Sun Mar 29
,Transit stations,-62%,Sun Feb 16,Sun Mar 29
,Workplaces,-34%,Sun Feb 16,Sun Mar 29
,Residential,+17%,Sun Feb 16,Sun Mar 29
The Bahamas
,Retail & recreation,-67%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-34%,Sun Feb 16,Sun Mar 29
,Parks,-48%,Sun Feb 16,Sun Mar 29
,Transit stations,-87%,Sun Feb 16,Sun Mar 29
,Workplaces,-52%,Sun Feb 16,Sun Mar 29
,Residential,+19%,Sun Feb 16,Sun Mar 29
"Botswana March 29, 2020"
,Retail & recreation,+40%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,+40%,Sun Feb 16,Sun Mar 29
,Transit stations,-20%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Belarus March 29, 2020"
,Retail & recreation,+40%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,+41%,Sun Feb 16,Sun Mar 29
,Transit stations,-7%,Sun Feb 16,Sun Mar 29
,Workplaces,+3%,Sun Feb 16,Sun Mar 29
,Residential,-2%,Sun Feb 16,Sun Mar 29
"Belize March 29, 2020"
,Retail & recreation,-63%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-49%,Sun Feb 16,Sun Mar 29
,Parks,-38%,Sun Feb 16,Sun Mar 29
,Transit stations,-68%,Sun Feb 16,Sun Mar 29
,Workplaces,-42%,Sun Feb 16,Sun Mar 29
,Residential,+13%,Sun Feb 16,Sun Mar 29
"Canada March 29, 2020"
,Retail & recreation,-59%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-35%,Sun Feb 16,Sun Mar 29
,Parks,-16%,Sun Feb 16,Sun Mar 29
,Transit stations,-66%,Sun Feb 16,Sun Mar 29
,Workplaces,-44%,Sun Feb 16,Sun Mar 29
,Residential,+14%,Sun Feb 16,Sun Mar 29
"Switzerland March 29, 2020"
,Retail & recreation,-81%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-51%,Sun Feb 16,Sun Mar 29
,Parks,-41%,Sun Feb 16,Sun Mar 29
,Transit stations,-68%,Sun Feb 16,Sun Mar 29
,Workplaces,-46%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
Côte d'Ivoire
,Retail & recreation,-35%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-21%,Sun Feb 16,Sun Mar 29
,Parks,-21%,Sun Feb 16,Sun Mar 29
,Transit stations,-33%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+14%,Sun Feb 16,Sun Mar 29
"Chile March 29, 2020"
,Retail & recreation,-73%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-55%,Sun Feb 16,Sun Mar 29
,Parks,-72%,Sun Feb 16,Sun Mar 29
,Transit stations,-64%,Sun Feb 16,Sun Mar 29
,Workplaces,-42%,Sun Feb 16,Sun Mar 29
,Residential,+24%,Sun Feb 16,Sun Mar 29
"Cameroon March 29, 2020"
,Retail & recreation,-26%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-20%,Sun Feb 16,Sun Mar 29
,Parks,-19%,Sun Feb 16,Sun Mar 29
,Transit stations,-23%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Colombia March 29, 2020"
,Retail & recreation,-86%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-68%,Sun Feb 16,Sun Mar 29
,Parks,-80%,Sun Feb 16,Sun Mar 29
,Transit stations,-82%,Sun Feb 16,Sun Mar 29
,Workplaces,-58%,Sun Feb 16,Sun Mar 29
,Residential,+26%,Sun Feb 16,Sun Mar 29
"Costa Rica March 29, 2020"
,Retail & recreation,-68%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-41%,Sun Feb 16,Sun Mar 29
,Parks,-71%,Sun Feb 16,Sun Mar 29
,Transit stations,-68%,Sun Feb 16,Sun Mar 29
,Workplaces,-39%,Sun Feb 16,Sun Mar 29
,Residential,+21%,Sun Feb 16,Sun Mar 29
"Cape Verde March 29, 2020"
,Retail & recreation,-60%,Sun Feb 16,Sun Mar 29
