 NOx reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Nigeria,2.957629e-02,3.018088e-02,2.410665e-02,2.470102e-02,1.976886e-02,2.024495e-02,2.788906e-02,2.848850e-02,2.888368e-02,2.940081e-02,2.798170e-02,2.859551e-02,1.805882e-02,1.853703e-02,2.957918e-02,3.016447e-02,2.410904e-02,2.469161e-02,1.977108e-02,2.023636e-02,2.789034e-02,2.847117e-02,2.888635e-02,2.939188e-02,2.799074e-02,2.857891e-02,1.806087e-02,1.852819e-02
South Africa,8.488622e-02,8.736044e-02,8.197508e-02,8.440724e-02,7.991943e-02,8.215058e-02,8.400875e-02,8.648796e-02,5.997754e-02,6.222567e-02,8.410926e-02,8.660062e-02,7.915418e-02,8.138897e-02,8.495775e-02,8.737881e-02,8.203900e-02,8.443888e-02,7.997086e-02,8.216793e-02,8.407086e-02,8.649846e-02,6.004393e-02,6.225922e-02,8.418906e-02,8.661373e-02,7.920090e-02,8.140146e-02
Rest of Africa,3.461336e-02,3.510115e-02,3.147077e-02,3.197311e-02,2.992614e-02,3.040835e-02,3.382300e-02,3.433282e-02,3.379052e-02,3.415923e-02,3.388645e-02,3.439422e-02,2.914582e-02,2.963243e-02,3.077942e-02,3.125644e-02,2.806219e-02,2.855221e-02,2.689163e-02,2.736089e-02,3.008486e-02,3.055872e-02,3.037612e-02,3.073554e-02,3.013186e-02,3.061160e-02,2.619103e-02,2.666353e-02
Italy,8.235412e-02,8.263062e-02,7.632436e-02,7.659675e-02,7.130921e-02,7.154248e-02,7.721542e-02,7.749049e-02,7.646109e-02,7.671587e-02,8.088553e-02,8.116253e-02,6.985804e-02,7.009109e-02,8.243863e-02,8.270986e-02,7.640475e-02,7.667392e-02,7.137381e-02,7.160364e-02,7.728311e-02,7.755311e-02,7.654239e-02,7.679365e-02,8.097591e-02,8.124665e-02,6.992629e-02,7.015586e-02
France,7.756194e-02,7.779180e-02,7.333894e-02,7.356579e-02,7.094344e-02,7.110974e-02,7.314211e-02,7.337373e-02,7.244391e-02,7.265712e-02,7.399797e-02,7.422732e-02,6.744684e-02,6.761219e-02,7.769113e-02,7.791772e-02,7.346397e-02,7.368908e-02,7.103845e-02,7.120285e-02,7.324938e-02,7.347751e-02,7.256997e-02,7.278119e-02,7.412524e-02,7.435103e-02,6.753851e-02,6.770215e-02
Germany,4.517493e-02,4.524449e-02,4.504628e-02,4.510523e-02,4.516386e-02,4.521825e-02,4.204375e-02,4.211268e-02,3.893297e-02,3.899253e-02,4.370708e-02,4.377732e-02,4.378175e-02,4.383600e-02,4.529918e-02,4.536634e-02,4.516482e-02,4.522245e-02,4.528176e-02,4.533459e-02,4.214317e-02,4.220978e-02,3.905255e-02,3.911044e-02,4.383806e-02,4.390502e-02,4.390484e-02,4.395753e-02
Spain,9.234053e-02,9.285453e-02,8.598123e-02,8.649886e-02,8.098769e-02,8.144704e-02,8.861919e-02,8.913218e-02,8.440143e-02,8.487684e-02,9.149271e-02,9.200820e-02,8.014741e-02,8.060693e-02,9.238998e-02,9.289766e-02,8.603049e-02,8.654543e-02,8.102769e-02,8.148377e-02,8.865816e-02,8.916520e-02,8.444945e-02,8.492013e-02,9.154387e-02,9.205155e-02,8.018701e-02,8.064322e-02
UK,9.463235e-02,9.481038e-02,9.187068e-02,9.204633e-02,9.051940e-02,9.067052e-02,8.787328e-02,8.805313e-02,8.625196e-02,8.641746e-02,9.438897e-02,9.456825e-02,9.029621e-02,9.044825e-02,9.471217e-02,9.488737e-02,9.194936e-02,9.212357e-02,9.058898e-02,9.073861e-02,8.794047e-02,8.811766e-02,8.633049e-02,8.649408e-02,9.447165e-02,9.464779e-02,9.036769e-02,9.051822e-02
Scandinavia,4.076875e-02,4.111287e-02,4.067144e-02,4.101066e-02,4.071266e-02,4.100466e-02,3.999667e-02,4.033168e-02,3.618151e-02,3.649862e-02,3.593010e-02,3.623570e-02,3.605716e-02,3.631105e-02,4.172637e-02,4.206422e-02,4.165035e-02,4.198574e-02,4.171627e-02,4.200457e-02,4.084826e-02,4.117638e-02,3.705684e-02,3.736977e-02,3.681133e-02,3.711018e-02,3.696822e-02,3.721879e-02
Rest of EU,2.189286e-01,2.195529e-01,2.151895e-01,2.157730e-01,2.143830e-01,2.149195e-01,2.083423e-01,2.089656e-01,1.832402e-01,1.838269e-01,2.166748e-01,2.172962e-01,2.123132e-01,2.128468e-01,2.088858e-01,2.095017e-01,2.039538e-01,2.045324e-01,2.027127e-01,2.032433e-01,1.988324e-01,1.994474e-01,1.753467e-01,1.759276e-01,2.072445e-01,2.078572e-01,2.012291e-01,2.017569e-01
Rest of Europe,1.157038e-02,1.170553e-02,1.159736e-02,1.172281e-02,1.162419e-02,1.174092e-02,1.023460e-02,1.036994e-02,1.004618e-02,1.016758e-02,1.130420e-02,1.143387e-02,1.135851e-02,1.147460e-02,6.253808e-03,6.386545e-03,6.236071e-03,6.365758e-03,6.263039e-03,6.378319e-03,5.594664e-03,5.732778e-03,5.349933e-03,5.469829e-03,6.126209e-03,6.258289e-03,6.137935e-03,6.252565e-03
USA,8.800000e-01,8.800000e-01,8.794025e-01,8.800000e-01,8.792687e-01,8.798938e-01,8.700000e-01,8.700000e-01,7.763312e-01,7.769746e-01,8.800000e-01,8.800000e-01,8.800000e-01,8.800000e-01,8.800000e-01,8.800000e-01,8.795592e-01,8.800000e-01,8.794250e-01,8.800000e-01,8.700000e-01,8.700000e-01,7.764723e-01,7.771101e-01,8.800000e-01,8.800000e-01,8.800000e-01,8.800000e-01
Canada,1.438950e-01,1.440901e-01,1.410723e-01,1.412636e-01,1.399559e-01,1.400998e-01,1.408448e-01,1.410467e-01,1.327711e-01,1.329476e-01,1.381568e-01,1.383525e-01,1.346845e-01,1.348280e-01,1.438966e-01,1.440872e-01,1.410749e-01,1.412635e-01,1.399593e-01,1.401005e-01,1.408446e-01,1.410418e-01,1.327726e-01,1.329460e-01,1.381596e-01,1.383497e-01,1.346876e-01,1.348285e-01
Mexico,2.063763e-01,2.069439e-01,2.007895e-01,2.013482e-01,1.956348e-01,1.961336e-01,2.041807e-01,2.047455e-01,1.955525e-01,1.960686e-01,2.025854e-01,2.031595e-01,1.918764e-01,1.923786e-01,2.063602e-01,2.069153e-01,2.007771e-01,2.013282e-01,1.956271e-01,1.961175e-01,2.041644e-01,2.047171e-01,1.955364e-01,1.960440e-01,2.025711e-01,2.031295e-01,1.918674e-01,1.923610e-01
Rest of Central America,6.407938e-02,6.442544e-02,6.026698e-02,6.060034e-02,5.861319e-02,5.881829e-02,6.233473e-02,6.267378e-02,5.359391e-02,5.380386e-02,6.170080e-02,6.204749e-02,5.592449e-02,5.614526e-02,6.626250e-02,6.659059e-02,6.216192e-02,6.248415e-02,6.023397e-02,6.042748e-02,6.450592e-02,6.482781e-02,5.513952e-02,5.540515e-02,6.405144e-02,6.437180e-02,5.771764e-02,5.792382e-02
Brazil,1.966810e-01,1.981679e-01,1.966314e-01,1.981034e-01,1.966646e-01,1.980582e-01,1.911337e-01,1.926184e-01,1.923370e-01,1.937369e-01,1.878578e-01,1.893444e-01,1.878424e-01,1.892354e-01,1.965980e-01,1.980656e-01,1.965657e-01,1.980261e-01,1.966147e-01,1.979959e-01,1.910507e-01,1.925167e-01,1.922544e-01,1.936411e-01,1.877753e-01,1.892424e-01,1.877925e-01,1.891728e-01
Rest of South America,1.891214e-01,1.897272e-01,1.740338e-01,1.746319e-01,1.624574e-01,1.629758e-01,1.830192e-01,1.836227e-01,1.795727e-01,1.801368e-01,1.800286e-01,1.806284e-01,1.527614e-01,1.532730e-01,2.250777e-01,2.256730e-01,2.062653e-01,2.068567e-01,1.914563e-01,1.919668e-01,2.179327e-01,2.185260e-01,2.135744e-01,2.141316e-01,2.149363e-01,2.155246e-01,1.806360e-01,1.811397e-01
