GHG reduction( Mt CO2eq ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
Russia,1.464964e-01,2.666143e-02,9.123900e-02,9.580606e-02,9.539519e-02,6.650033e-02,4.181481e-01,2.580376e-02,1.165008e-01,2.385966e-01,1.745139e-01,1.930672e-01,1.849316e-01,1.908277e-01,9.698994e-02,1.049995e-01,1.130305e-01,7.037843e-02,4.154228e-01,2.832907e-02,1.175743e-01,2.304823e-01,1.871634e-01,1.967184e-01
Rest of FSU,4.749747e+00,3.627195e+00,3.884354e+00,2.794863e+00,2.375434e+00,2.376619e+00,9.149241e+00,4.889820e+00,1.131311e+00,1.280381e+00,1.230336e+01,6.154602e+00,7.593806e+00,6.444056e+00,5.689372e+00,4.573821e+00,3.113791e+00,3.113468e+00,7.920688e+00,4.608376e+00,1.724741e+00,1.770286e+00,1.297899e+01,5.848362e+00
Iran,2.386410e-03,2.134489e-03,2.004598e-03,3.262141e-03,2.015520e-03,2.818145e-03,6.071805e-03,1.781146e-03,2.122773e-03,4.689468e-03,2.442437e-03,4.840429e-03,2.437607e-03,5.313757e-03,2.008283e-03,3.315315e-03,2.151386e-03,2.822003e-03,6.065980e-03,1.785698e-03,2.141157e-03,4.764299e-03,2.449592e-03,4.704870e-03
UAE,2.195167e+01,2.017989e+01,1.969375e+01,1.796098e+01,1.688431e+01,1.688640e+01,1.449527e+01,1.387148e+01,1.390513e+01,1.514688e+01,2.185930e+01,1.802539e+01,2.216189e+01,2.037959e+01,1.984988e+01,1.810279e+01,1.691233e+01,1.691430e+01,1.452529e+01,1.389963e+01,1.393138e+01,1.517290e+01,2.207715e+01,1.805500e+01
Middle East,1.348544e+02,1.140489e+02,1.198618e+02,9.856100e+01,8.987603e+01,8.987866e+01,9.117553e+01,7.574757e+01,6.402154e+01,7.010432e+01,1.561064e+02,1.040187e+02,9.803472e+01,8.022639e+01,9.019564e+01,7.143023e+01,6.915169e+01,6.915437e+01,6.504592e+01,5.457331e+01,4.703412e+01,5.353955e+01,1.115172e+02,7.975464e+01
Rest of OPEC,4.004729e+01,3.535358e+01,3.434998e+01,2.965851e+01,2.519620e+01,2.519754e+01,1.928892e+01,1.903481e+01,1.939953e+01,2.222768e+01,3.922524e+01,2.734082e+01,2.787685e+01,2.389856e+01,2.337992e+01,1.938079e+01,1.594731e+01,1.594863e+01,1.098404e+01,1.071606e+01,1.103450e+01,1.338820e+01,2.774525e+01,1.763651e+01
Nigeria,1.640355e+01,1.400578e+01,1.292456e+01,1.058403e+01,7.643341e+00,7.643628e+00,4.684701e+00,4.757878e+00,4.901464e+00,5.137374e+00,1.607616e+01,7.728716e+00,1.648127e+01,1.409154e+01,1.299884e+01,1.065530e+01,7.704556e+00,7.704415e+00,4.758422e+00,4.824596e+00,4.960057e+00,5.195756e+00,1.617054e+01,7.797207e+00
South Africa,1.666728e+01,1.413163e+01,1.351379e+01,1.093069e+01,8.307664e+00,8.308374e+00,1.726522e+01,1.114093e+01,5.372995e+00,6.644002e+00,2.814268e+01,1.508905e+01,1.669472e+01,1.416111e+01,1.353569e+01,1.094901e+01,8.309660e+00,8.310193e+00,1.727275e+01,1.114703e+01,5.374570e+00,6.644088e+00,2.818879e+01,1.509972e+01
Rest of Africa,1.975132e+01,1.670588e+01,1.360633e+01,1.068253e+01,6.470117e+00,6.470034e+00,2.049768e+00,2.038582e+00,2.089265e+00,2.741562e+00,1.971531e+01,6.990421e+00,1.823625e+01,1.536099e+01,1.269386e+01,9.886804e+00,6.123166e+00,6.122838e+00,1.979815e+00,1.926764e+00,1.971344e+00,2.605503e+00,1.820224e+01,6.623135e+00
Italy,2.703758e+01,2.363091e+01,2.229023e+01,1.843830e+01,1.591004e+01,1.591037e+01,2.080226e+01,1.515536e+01,9.534640e+00,9.839428e+00,3.810310e+01,2.159118e+01,2.707080e+01,2.365408e+01,2.234680e+01,1.847631e+01,1.594451e+01,1.594477e+01,2.084213e+01,1.519038e+01,9.564326e+00,9.836388e+00,3.814864e+01,2.162632e+01
France,1.959856e+01,1.568094e+01,1.963102e+01,1.491230e+01,1.574394e+01,1.574443e+01,1.572075e+01,1.312844e+01,1.054589e+01,1.074977e+01,2.475577e+01,1.845442e+01,1.961312e+01,1.569616e+01,1.964931e+01,1.492874e+01,1.576500e+01,1.576544e+01,1.574515e+01,1.315006e+01,1.056427e+01,1.075788e+01,2.477486e+01,1.847764e+01
Germany,1.250972e+01,1.020725e+01,1.300381e+01,9.345145e+00,1.058692e+01,1.058683e+01,2.739992e+01,1.690654e+01,7.083258e+00,9.197755e+00,3.289309e+01,2.183055e+01,1.248890e+01,1.018599e+01,1.300649e+01,9.344164e+00,1.061084e+01,1.061067e+01,2.747356e+01,1.695400e+01,7.102867e+00,9.160239e+00,3.292226e+01,2.187913e+01
