PM2.5 reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Iran,6.596246e-04,6.596246e-04,6.596246e-04,6.596246e-04,1.070316e-03,6.596246e-04,1.280593e-02,5.554736e-02,1.153972e-02,4.737419e-02,1.219880e-02,5.041432e-02,3.443806e-02,9.538851e-02,3.003934e-02,9.311542e-02,2.147227e-02,7.928674e-02,1.959585e-02,6.859433e-02,1.491650e-02,6.003717e-02,1.300060e-02,5.201841e-02,1.355344e-02,5.498687e-02,3.112957e-02,9.652710e-02
UAE,2.444069e+00,2.443794e+00,3.222394e+00,3.222097e+00,2.496443e+00,2.495802e+00,6.658382e+00,6.721770e+00,6.945039e+00,7.016562e+00,5.960004e+00,6.055621e+00,5.429781e+00,5.512475e+00,6.481233e+00,6.506338e+00,6.507903e+00,6.538110e+00,6.557431e+00,6.595658e+00,6.682599e+00,6.743734e+00,6.970712e+00,7.041628e+00,5.983262e+00,6.081636e+00,5.434129e+00,5.517761e+00
Middle East,4.424642e+00,4.424725e+00,5.031372e+00,5.031428e+00,4.082343e+00,4.082368e+00,7.609565e+00,7.626996e+00,8.169746e+00,8.189515e+00,7.853844e+00,7.873375e+00,5.942385e+00,5.949195e+00,4.724227e+00,4.731317e+00,4.856356e+00,4.865884e+00,5.191509e+00,5.206299e+00,5.576743e+00,5.593944e+00,5.961931e+00,5.981679e+00,5.708604e+00,5.728117e+00,4.432279e+00,4.440002e+00
Rest of OPEC,6.586141e+00,6.586341e+00,6.732184e+00,6.732362e+00,6,6,7.664452e+00,7.699928e+00,7.924665e+00,7.959029e+00,7.891201e+00,7.925322e+00,6.964900e+00,6.994953e+00,6.679118e+00,6.709105e+00,6.813645e+00,6.850992e+00,7.066859e+00,7.102267e+00,7.319953e+00,7.354406e+00,7.572995e+00,7.606551e+00,7.544339e+00,7.578236e+00,6.637488e+00,6.669797e+00
Nigeria,3.156790e+00,3.154561e+00,3.376155e+00,3.373877e+00,2.102670e+00,2.101367e+00,5.581393e+00,5.710200e+00,6.366707e+00,6.480535e+00,6.112394e+00,6.228754e+00,3.253338e+00,3.372953e+00,3.524410e+00,3.648795e+00,4.046012e+00,4.165002e+00,4.830636e+00,4.936461e+00,5.588502e+00,5.710643e+00,6.368943e+00,6.481580e+00,6.114450e+00,6.229671e+00,3.242039e+00,3.370519e+00
South Africa,2.415051e+00,2.412865e+00,3.553857e+00,3.553942e+00,2.009950e+00,2.008266e+00,6.271101e+00,6.435731e+00,6.713090e+00,6.880375e+00,6.603764e+00,6.771049e+00,5.014891e+00,5.167933e+00,5.129379e+00,5.283223e+00,5.397047e+00,5.552345e+00,5.843140e+00,5.997260e+00,6.282671e+00,6.443615e+00,6.723398e+00,6.889695e+00,6.613392e+00,6.779816e+00,5.011877e+00,5.168896e+00
Rest of Africa,1.846560e+00,1.846780e+00,1.964326e+00,1.964465e+00,1.614292e+00,1.614152e+00,2.733570e+00,2.758247e+00,2.936738e+00,2.961944e+00,2.837897e+00,2.863439e+00,2.169076e+00,2.192350e+00,2.071304e+00,2.094431e+00,2.111408e+00,2.132616e+00,2.275881e+00,2.299030e+00,2.446475e+00,2.470456e+00,2.616413e+00,2.641744e+00,2.530425e+00,2.556045e+00,1.973054e+00,2.000602e+00
Italy,4.970595e+00,4.970640e+00,5.159182e+00,5.159223e+00,4.353981e+00,4.353986e+00,9.615604e+00,9.636107e+00,1.063093e+01,1.065334e+01,1.058623e+01,1.060870e+01,6.823929e+00,6.834680e+00,6.877080e+00,6.887890e+00,7.596503e+00,7.613394e+00,8.615102e+00,8.633177e+00,9.633475e+00,9.653561e+00,1.065160e+01,1.067398e+01,1.060667e+01,1.062910e+01,6.828342e+00,6.839905e+00
France,4.028364e+00,4.028454e+00,4.435367e+00,4.435450e+00,3.410216e+00,3.410262e+00,8.083303e+00,8.114567e+00,9.063203e+00,9.098843e+00,8.942150e+00,8.977868e+00,5.286771e+00,5.298330e+00,5.420423e+00,5.432222e+00,6.140719e+00,6.163666e+00,7.125887e+00,7.152436e+00,8.110905e+00,8.141903e+00,9.095874e+00,9.131506e+00,8.973857e+00,9.009583e+00,5.293185e+00,5.305559e+00
Germany,1.831916e+00,1.831917e+00,2.257632e+00,2.257628e+00,1.568376e+00,1.568339e+00,2.600191e+00,2.604283e+00,2.585912e+00,2.590514e+00,2.524110e+00,2.528706e+00,2.582364e+00,2.584545e+00,2.650723e+00,2.653050e+00,2.636924e+00,2.639846e+00,2.623634e+00,2.626773e+00,2.610140e+00,2.613937e+00,2.596568e+00,2.601154e+00,2.534706e+00,2.539284e+00,2.588374e+00,2.591159e+00
Spain,5.343239e+00,5.343330e+00,5.844927e+00,5.845026e+00,4.808622e+00,4.808666e+00,1.006939e+01,1.011678e+01,1.086232e+01,1.091212e+01,1.079329e+01,1.084319e+01,7.929666e+00,7.969106e+00,8.006258e+00,8.046248e+00,8.493282e+00,8.538020e+00,9.289541e+00,9.333136e+00,1.008518e+01,1.013157e+01,1.088031e+01,1.092998e+01,1.081091e+01,1.086066e+01,7.931115e+00,7.972810e+00
UK,4.556899e+00,4.556978e+00,5.393269e+00,5.393339e+00,4.126974e+00,4.127017e+00,7.233452e+00,7.253338e+00,7.631231e+00,7.654256e+00,7.590798e+00,7.613893e+00,6.284615e+00,6.293048e+00,6.333190e+00,6.341649e+00,6.514312e+00,6.524455e+00,6.848307e+00,6.864860e+00,7.249114e+00,7.268784e+00,7.649842e+00,7.672871e+00,7.609328e+00,7.632427e+00,6.288653e+00,6.297533e+00
Scandinavia,3.452840e+00,3.453121e+00,3.623935e+00,3.624211e+00,2.948616e+00,2.948818e+00,3.677777e+00,3.702669e+00,3.749718e+00,3.782397e+00,3.532464e+00,3.564437e+00,3.383590e+00,3.400412e+00,3.640141e+00,3.658993e+00,3.666666e+00,3.686439e+00,3.698449e+00,3.721778e+00,3.769423e+00,3.800439e+00,3.861740e+00,3.894790e+00,3.639633e+00,3.671583e+00,3.429555e+00,3.446876e+00
Rest of EU,3.894122e+00,3.894223e+00,4.681372e+00,4.681477e+00,3.085114e+00,3.085171e+00,5.808387e+00,5.823032e+00,5.953356e+00,5.979381e+00,5.941703e+00,5.967736e+00,5.527667e+00,5.537227e+00,5.430127e+00,5.439766e+00,5.443619e+00,5.454272e+00,5.457401e+00,5.468993e+00,5.471176e+00,5.484119e+00,5.484894e+00,5.499269e+00,5.483549e+00,5.497886e+00,5.428422e+00,5.438288e+00
Rest of Europe,1.609532e+00,1.608342e+00,2.745690e+00,2.744577e+00,1.279804e+00,1.279605e+00,5.447138e+00,5.520554e+00,5.606596e+00,5.681905e+00,5.589422e+00,5.664572e+00,5.090458e+00,5.156275e+00,3.151493e+00,3.218577e+00,3.189266e+00,3.255885e+00,3.331776e+00,3.398108e+00,3.472397e+00,3.542627e+00,3.611250e+00,3.686687e+00,3.622235e+00,3.697808e+00,3.155996e+00,3.224945e+00
USA,2.580982e+00,2.581030e+00,2.696986e+00,2.697034e+00,2.544964e+00,2.545011e+00,4.529280e+00,4.548381e+00,4.610541e+00,4.633442e+00,4.559276e+00,4.582219e+00,4.286717e+00,4.292627e+00,4.340915e+00,4.346826e+00,4.368867e+00,4.380055e+00,4.450157e+00,4.465196e+00,4.531506e+00,4.550580e+00,4.613093e+00,4.636008e+00,4.561911e+00,4.584866e+00,4.287577e+00,4.293637e+00
Canada,3.517125e+00,3.517234e+00,3.735674e+00,3.735747e+00,3.314617e+00,3.314643e+00,6.187722e+00,6.198885e+00,6.606615e+00,6.618738e+00,6.618674e+00,6.630714e+00,5.159737e+00,5.164479e+00,5.164999e+00,5.170017e+00,5.351350e+00,5.360498e+00,5.770546e+00,5.779886e+00,6.189276e+00,6.199846e+00,6.607888e+00,6.619960e+00,6.619909e+00,6.631896e+00,5.158336e+00,5.164469e+00
Mexico,3.353150e+00,3.353054e+00,3.378491e+00,3.378397e+00,3.041449e+00,3.041334e+00,4.447904e+00,4.463949e+00,4.729373e+00,4.745766e+00,4.728689e+00,4.745147e+00,3.676544e+00,3.686733e+00,3.679878e+00,3.690299e+00,3.885235e+00,3.899809e+00,4.166699e+00,4.181197e+00,4.447669e+00,4.463049e+00,4.728323e+00,4.744652e+00,4.727572e+00,4.743957e+00,3.674739e+00,3.686332e+00
Rest of Central America,3.665438e+00,3.665449e+00,4.326911e+00,4.326761e+00,3.256996e+00,3.256465e+00,6.039480e+00,6.073071e+00,6.501406e+00,6.534595e+00,6.155015e+00,6.184789e+00,4.622648e+00,4.643717e+00,4.926194e+00,4.949813e+00,5.015288e+00,5.047316e+00,5.482505e+00,5.511677e+00,5.945790e+00,5.976838e+00,6.409723e+00,6.441915e+00,6.092689e+00,6.121582e+00,4.540764e+00,4.564549e+00
Brazil,4.112140e+00,4.112448e+00,4.913144e+00,4.913355e+00,3.985594e+00,3.985875e+00,7.087591e+00,7.144316e+00,7.332108e+00,7.391847e+00,7.334083e+00,7.393969e+00,6.467360e+00,6.511154e+00,6.467282e+00,6.510606e+00,6.593838e+00,6.645454e+00,6.836357e+00,6.890054e+00,7.079381e+00,7.135918e+00,7.321916e+00,7.381696e+00,7.323893e+00,7.383796e+00,6.463417e+00,6.508688e+00
Rest of South America,5.095996e+00,5.096187e+00,5.379398e+00,5.379582e+00,4.691051e+00,4.691199e+00,8.505442e+00,8.540641e+00,8.961709e+00,8.997403e+00,8.629794e+00,8.665250e+00,7.003336e+00,7.032089e+00,8.701934e+00,8.730858e+00,8.986927e+00,9.020493e+00,9.546702e+00,9.580192e+00,1.010599e+01,1.014041e+01,1.066508e+01,1.070053e+01,1.028536e+01,1.032057e+01,8.271673e+00,8.302551e+00
