 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Australia,5.378444e+00,5.418409e+00,5.379729e+00,5.416913e+00,5.381177e+00,5.416140e+00,5.231505e+00,5.271227e+00,4.660556e+00,4.697349e+00,5.288957e+00,5.329150e+00,5.291488e+00,5.326529e+00,5.388029e+00,5.427221e+00,5.385681e+00,5.422396e+00,5.386728e+00,5.421166e+00,5.239748e+00,5.278729e+00,4.670116e+00,4.706391e+00,5.297467e+00,5.336734e+00,5.295827e+00,5.330336e+00
Rest of Oceania,7.445787e+00,7.700161e+00,6.938379e+00,7.190003e+00,6.646927e+00,6.870429e+00,7.055299e+00,7.309504e+00,7.045958e+00,7.171706e+00,7.248441e+00,7.500461e+00,6.438029e+00,6.660379e+00,3.001435e+00,3.121164e+00,3.009552e+00,3.127026e+00,3.017697e+00,3.127708e+00,2.825097e+00,2.966320e+00,3.006860e+00,3.115758e+00,2.894336e+00,3.014426e+00,2.910653e+00,3.020141e+00
Russia,1.826083e-01,5.894498e-01,1.826482e-01,5.877223e-01,1.827148e-01,5.687247e-01,1.847769e-01,5.918631e-01,1.829713e-01,5.601434e-01,1.812984e-01,5.890856e-01,1.820937e-01,5.683504e-01,1.832298e-01,5.856523e-01,1.832310e-01,5.863680e-01,1.833946e-01,5.688531e-01,1.853618e-01,5.880883e-01,1.835754e-01,5.599318e-01,1.826677e-01,5.853415e-01,1.828407e-01,5.685600e-01
Rest of FSU,2.947049e+00,2.990604e+00,2.789728e+00,2.832621e+00,2.711654e+00,2.744228e+00,2.883747e+00,2.926962e+00,2.060670e+00,2.099511e+00,2.942837e+00,2.987089e+00,2.708115e+00,2.740868e+00,2.315275e+00,2.352459e+00,2.121138e+00,2.158321e+00,1.992003e+00,2.019271e+00,2.260336e+00,2.297254e+00,1.730813e+00,1.763981e+00,2.300866e+00,2.338260e+00,1.976130e+00,2.003571e+00
Iran,5.042400e-02,9.204127e-02,5.520486e-02,9.920872e-02,6.095160e-02,1.008864e-01,5.416543e-02,9.820816e-02,5.144694e-02,8.458989e-02,5.084413e-02,9.459439e-02,6.246639e-02,1.037034e-01,5.201023e-02,9.299248e-02,5.690284e-02,1.006012e-01,6.232604e-02,1.017862e-01,5.603873e-02,9.906987e-02,5.321112e-02,8.620397e-02,5.327246e-02,9.547715e-02,6.381240e-02,1.045429e-01
UAE,6.354519e+00,6.377731e+00,6.112465e+00,6.133355e+00,6.041081e+00,6.057614e+00,5.527266e+00,5.550279e+00,6.373304e+00,6.393830e+00,5.266943e+00,5.290631e+00,4.925271e+00,4.941957e+00,6.364723e+00,6.387287e+00,6.119905e+00,6.140452e+00,6.046022e+00,6.062206e+00,5.536635e+00,5.559029e+00,6.383200e+00,6.403298e+00,5.276437e+00,5.299199e+00,4.929304e+00,4.945640e+00
Middle East,6.581575e+00,6.597101e+00,6.453197e+00,6.467462e+00,6.438918e+00,6.451704e+00,6.412554e+00,6.427976e+00,5.604050e+00,5.618310e+00,6.394727e+00,6.410052e+00,6.237247e+00,6.249779e+00,4.764669e+00,4.778933e+00,4.745598e+00,4.759723e+00,4.760098e+00,4.772716e+00,4.617383e+00,4.631555e+00,4.069907e+00,4.083039e+00,4.592206e+00,4.606206e+00,4.584681e+00,4.597112e+00
Rest of OPEC,7.503759e+00,7.560195e+00,7.301524e+00,7.357052e+00,7.155665e+00,7.204573e+00,7.383097e+00,7.439179e+00,7.056096e+00,7.107926e+00,7.335346e+00,7.391589e+00,6.982868e+00,7.031392e+00,7.200937e+00,7.252636e+00,6.998057e+00,7.049284e+00,6.846857e+00,6.891535e+00,7.085456e+00,7.136846e+00,6.664361e+00,6.711922e+00,7.053108e+00,7.104408e+00,6.694870e+00,6.739172e+00
Nigeria,6.577701e+00,6.712161e+00,5.361265e+00,5.493453e+00,4.396549e+00,4.502432e+00,6.202464e+00,6.335778e+00,6.423666e+00,6.538673e+00,6.223068e+00,6.359577e+00,4.016242e+00,4.122595e+00,6.578342e+00,6.708510e+00,5.361796e+00,5.491358e+00,4.397044e+00,4.500522e+00,6.202748e+00,6.331925e+00,6.424260e+00,6.536688e+00,6.225077e+00,6.355886e+00,4.016697e+00,4.120628e+00
South Africa,7.182400e+00,7.391749e+00,6.936083e+00,7.141872e+00,6.762149e+00,6.950932e+00,7.108156e+00,7.317927e+00,5.074825e+00,5.265044e+00,7.116659e+00,7.327459e+00,6.697400e+00,6.886490e+00,7.188452e+00,7.393303e+00,6.941491e+00,7.144549e+00,6.766501e+00,6.952400e+00,7.113411e+00,7.318815e+00,5.080442e+00,5.267882e+00,7.123412e+00,7.328568e+00,6.701353e+00,6.887547e+00
Rest of Africa,2.258457e+00,2.290285e+00,2.053409e+00,2.086186e+00,1.952625e+00,1.984088e+00,2.206887e+00,2.240152e+00,2.204768e+00,2.228826e+00,2.211028e+00,2.244159e+00,1.901710e+00,1.933461e+00,2.008300e+00,2.039425e+00,1.831005e+00,1.862979e+00,1.754629e+00,1.785247e+00,1.962981e+00,1.993900e+00,1.981985e+00,2.005437e+00,1.966047e+00,1.997350e+00,1.708916e+00,1.739746e+00
Italy,7.497665e+00,7.522838e+00,6.948705e+00,6.973504e+00,6.492117e+00,6.513354e+00,7.029829e+00,7.054872e+00,6.961153e+00,6.984349e+00,7.363962e+00,7.389181e+00,6.360000e+00,6.381217e+00,7.505359e+00,7.530052e+00,6.956024e+00,6.980530e+00,6.497998e+00,6.518922e+00,7.035992e+00,7.060573e+00,6.968555e+00,6.991430e+00,7.372191e+00,7.396839e+00,6.366213e+00,6.387114e+00
France,7.236851e+00,7.258298e+00,6.842828e+00,6.863994e+00,6.619318e+00,6.634834e+00,6.824463e+00,6.846074e+00,6.759318e+00,6.779211e+00,6.904318e+00,6.925718e+00,6.293070e+00,6.308499e+00,7.248906e+00,7.270047e+00,6.854494e+00,6.875497e+00,6.628182e+00,6.643522e+00,6.834471e+00,6.855757e+00,6.771080e+00,6.790787e+00,6.916193e+00,6.937260e+00,6.301624e+00,6.316892e+00
Germany,3.124794e+00,3.129606e+00,3.115895e+00,3.119973e+00,3.124028e+00,3.127791e+00,2.908208e+00,2.912976e+00,2.693032e+00,2.697152e+00,3.023262e+00,3.028120e+00,3.028426e+00,3.032179e+00,3.133389e+00,3.138035e+00,3.124095e+00,3.128082e+00,3.132184e+00,3.135838e+00,2.915085e+00,2.919692e+00,2.701304e+00,2.705308e+00,3.032322e+00,3.036954e+00,3.036941e+00,3.040586e+00
