PM2.5 reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
South Africa,6.227057e-03,6.428278e-03,5.713630e-03,5.911411e-03,5.372690e-03,5.547601e-03,6.102164e-03,6.304805e-03,4.255271e-03,4.437865e-03,6.129077e-03,6.331712e-03,5.275436e-03,5.450605e-03,6.233448e-03,6.430297e-03,5.719147e-03,5.914271e-03,5.375729e-03,5.547852e-03,6.107712e-03,6.306082e-03,4.261186e-03,4.441073e-03,6.136342e-03,6.333442e-03,5.278354e-03,5.450723e-03
Rest of Africa,2.069720e-03,2.103087e-03,1.813579e-03,1.848368e-03,1.689311e-03,1.719940e-03,1.967371e-03,2.002741e-03,1.996735e-03,2.020456e-03,1.998426e-03,2.033545e-03,1.609976e-03,1.640948e-03,1.821225e-03,1.853801e-03,1.598873e-03,1.632678e-03,1.502837e-03,1.532599e-03,1.729674e-03,1.762018e-03,1.784642e-03,1.807646e-03,1.757699e-03,1.790512e-03,1.431681e-03,1.461678e-03
Italy,5.415011e-03,5.429818e-03,4.542542e-03,4.557144e-03,3.827748e-03,3.837985e-03,4.938523e-03,4.953263e-03,5.229898e-03,5.243556e-03,5.304014e-03,5.318816e-03,3.719957e-03,3.730161e-03,5.421353e-03,5.435887e-03,4.548261e-03,4.562697e-03,3.830906e-03,3.840986e-03,4.943613e-03,4.958090e-03,5.236070e-03,5.249545e-03,5.310793e-03,5.325277e-03,3.723300e-03,3.733346e-03
France,4.515497e-03,4.531324e-03,4.038194e-03,4.053827e-03,3.808918e-03,3.817769e-03,4.132941e-03,4.149095e-03,4.275900e-03,4.290632e-03,4.205171e-03,4.220904e-03,3.508296e-03,3.517043e-03,4.524493e-03,4.540152e-03,4.046688e-03,4.062254e-03,3.813582e-03,3.822364e-03,4.140450e-03,4.156396e-03,4.284692e-03,4.299341e-03,4.214208e-03,4.229781e-03,3.512878e-03,3.521583e-03
Germany,1.988219e-03,1.991605e-03,1.972298e-03,1.975010e-03,1.972430e-03,1.974892e-03,1.686616e-03,1.689967e-03,1.782087e-03,1.784930e-03,1.928626e-03,1.932051e-03,1.918421e-03,1.920875e-03,1.993903e-03,1.997158e-03,1.977637e-03,1.980276e-03,1.977752e-03,1.980129e-03,1.691159e-03,1.694382e-03,1.787601e-03,1.790351e-03,1.934652e-03,1.937894e-03,1.923990e-03,1.926359e-03
Spain,5.887710e-03,5.918987e-03,5.145206e-03,5.178093e-03,4.570606e-03,4.598437e-03,5.365663e-03,5.397081e-03,5.527420e-03,5.556225e-03,5.794944e-03,5.826284e-03,4.478851e-03,4.506656e-03,5.890655e-03,5.921888e-03,5.148214e-03,5.181304e-03,4.572497e-03,4.600492e-03,5.367888e-03,5.399288e-03,5.530261e-03,5.558935e-03,5.798095e-03,5.829293e-03,4.480776e-03,4.508743e-03
UK,5.629206e-03,5.638098e-03,5.300918e-03,5.309698e-03,5.164562e-03,5.171020e-03,4.682940e-03,4.692158e-03,5.460612e-03,5.468863e-03,5.609293e-03,5.618294e-03,5.147912e-03,5.154460e-03,5.634218e-03,5.642969e-03,5.305759e-03,5.314492e-03,5.168113e-03,5.174538e-03,4.687100e-03,4.696193e-03,5.465564e-03,5.473719e-03,5.614517e-03,5.623362e-03,5.151565e-03,5.158078e-03
Scandinavia,2.177882e-03,2.195876e-03,2.172341e-03,2.190079e-03,2.181269e-03,2.194975e-03,2.095430e-03,2.113421e-03,2.086978e-03,2.103554e-03,1.828638e-03,1.843000e-03,1.849832e-03,1.859981e-03,2.233364e-03,2.251031e-03,2.229256e-03,2.246795e-03,2.239966e-03,2.253512e-03,2.142092e-03,2.159647e-03,2.140780e-03,2.157136e-03,1.879138e-03,1.893172e-03,1.902077e-03,1.912102e-03
Rest of EU,1.020868e-02,1.024079e-02,9.800657e-03,9.827153e-03,9.704535e-03,9.727730e-03,9.220319e-03,9.252405e-03,9.038246e-03,9.068610e-03,1.006276e-02,1.009457e-02,9.584857e-03,9.607798e-03,9.820827e-03,9.852555e-03,9.251333e-03,9.277611e-03,9.116241e-03,9.139184e-03,8.882508e-03,8.914211e-03,8.721363e-03,8.751461e-03,9.713364e-03,9.744815e-03,9.031493e-03,9.054185e-03
Rest of Europe,1.421622e-03,1.442781e-03,1.424924e-03,1.444909e-03,1.428193e-03,1.446655e-03,1.238027e-03,1.259149e-03,1.024965e-03,1.043649e-03,1.383009e-03,1.403643e-03,1.389661e-03,1.408070e-03,7.999067e-04,8.206025e-04,7.987876e-04,8.191010e-04,8.023270e-04,8.205092e-04,7.071790e-04,7.288321e-04,5.644139e-04,5.828146e-04,7.825845e-04,8.032371e-04,7.852731e-04,8.034021e-04
USA,4.289618e-02,4.293824e-02,4.270604e-02,4.274360e-02,4.269074e-02,4.272661e-02,4.212800e-02,4.217009e-02,3.587700e-02,3.591671e-02,4.293630e-02,4.297830e-02,4.273167e-02,4.276752e-02,4.290085e-02,4.294239e-02,4.271291e-02,4.275018e-02,4.269744e-02,4.273296e-02,4.213050e-02,4.217207e-02,3.588144e-02,3.592081e-02,4.294318e-02,4.298469e-02,4.274040e-02,4.277590e-02
Canada,6.007775e-03,6.017150e-03,5.734613e-03,5.743770e-03,5.592882e-03,5.598649e-03,5.733662e-03,5.743662e-03,5.421827e-03,5.430069e-03,5.739492e-03,5.748925e-03,5.375844e-03,5.381585e-03,6.007846e-03,6.016944e-03,5.734761e-03,5.743752e-03,5.593028e-03,5.598643e-03,5.733669e-03,5.743370e-03,5.421890e-03,5.429942e-03,5.739671e-03,5.748737e-03,5.375984e-03,5.381575e-03
Mexico,3.780443e-03,3.793129e-03,3.358273e-03,3.370776e-03,2.979302e-03,2.988272e-03,3.650118e-03,3.662761e-03,3.591689e-03,3.603191e-03,3.672420e-03,3.685270e-03,2.875354e-03,2.884413e-03,3.779314e-03,3.791716e-03,3.357641e-03,3.369970e-03,2.979205e-03,2.988014e-03,3.649001e-03,3.661370e-03,3.590561e-03,3.601873e-03,3.671343e-03,3.683835e-03,2.875240e-03,2.884136e-03
Rest of Central America,2.355077e-03,2.368196e-03,2.043822e-03,2.056575e-03,1.881972e-03,1.888369e-03,2.179737e-03,2.192670e-03,2.131983e-03,2.141626e-03,2.211506e-03,2.224449e-03,1.712146e-03,1.719416e-03,2.437494e-03,2.450089e-03,2.102783e-03,2.115213e-03,1.918224e-03,1.924301e-03,2.260674e-03,2.273107e-03,2.200833e-03,2.211542e-03,2.302353e-03,2.314540e-03,1.757685e-03,1.764462e-03
Brazil,1.102674e-02,1.111731e-02,1.102149e-02,1.111115e-02,1.102200e-02,1.110675e-02,9.826070e-03,9.916521e-03,1.085058e-02,1.093586e-02,1.029002e-02,1.038055e-02,1.028535e-02,1.037004e-02,1.102264e-02,1.111203e-02,1.101834e-02,1.110730e-02,1.101972e-02,1.110372e-02,9.821949e-03,9.911248e-03,1.084650e-02,1.093097e-02,1.028600e-02,1.037533e-02,1.028311e-02,1.036703e-02
Rest of South America,1.264597e-02,1.270518e-02,1.150019e-02,1.155856e-02,1.068988e-02,1.074090e-02,1.198702e-02,1.204594e-02,1.130809e-02,1.136293e-02,1.182113e-02,1.187989e-02,9.793813e-03,9.844260e-03,1.506886e-02,1.512692e-02,1.363991e-02,1.369753e-02,1.259431e-02,1.264451e-02,1.429988e-02,1.435769e-02,1.345734e-02,1.351144e-02,1.414817e-02,1.420563e-02,1.159345e-02,1.164309e-02
