GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
UK,3.942232e+00,3.942308e+00,5.732511e+00,5.732564e+00,3.407058e+00,3.407092e+00,8.341743e+00,8.362214e+00,8.712062e+00,8.735201e+00,8.689550e+00,8.712758e+00,7.460841e+00,7.471656e+00,7.490754e+00,7.501654e+00,7.662813e+00,7.675458e+00,7.983423e+00,8.000925e+00,8.356363e+00,8.376526e+00,8.729221e+00,8.752355e+00,8.706664e+00,8.729864e+00,7.464648e+00,7.476198e+00
Scandinavia,2.666061e+00,2.666309e+00,3.225551e+00,3.225772e+00,2.181936e+00,2.182079e+00,3.750829e+00,3.789372e+00,3.817641e+00,3.864266e+00,3.608474e+00,3.654521e+00,3.498558e+00,3.527569e+00,3.719312e+00,3.750205e+00,3.731824e+00,3.764096e+00,3.752120e+00,3.788284e+00,3.817827e+00,3.862118e+00,3.905118e+00,3.951994e+00,3.691402e+00,3.737344e+00,3.517581e+00,3.548055e+00
Rest of EU,3.466071e+00,3.466175e+00,4.447885e+00,4.447993e+00,2.704829e+00,2.704880e+00,6.165557e+00,6.186983e+00,6.288310e+00,6.321079e+00,6.275032e+00,6.307831e+00,5.966331e+00,5.981286e+00,5.804073e+00,5.819103e+00,5.801892e+00,5.818237e+00,5.800216e+00,5.817686e+00,5.798489e+00,5.817794e+00,5.796651e+00,5.817947e+00,5.794377e+00,5.815657e+00,5.801218e+00,5.816714e+00
Rest of Europe,2.233374e+00,2.230632e+00,3.649490e+00,3.647145e+00,1.734778e+00,1.733989e+00,5.743554e+00,5.822587e+00,5.963274e+00,6.044671e+00,5.954743e+00,6.035857e+00,5.250217e+00,5.325124e+00,3.121158e+00,3.197460e+00,3.184025e+00,3.255508e+00,3.380478e+00,3.451781e+00,3.574111e+00,3.651034e+00,3.767705e+00,3.849264e+00,3.781166e+00,3.862884e+00,3.127115e+00,3.206188e+00
USA,2.323766e+00,2.323810e+00,2.627520e+00,2.627563e+00,2.214103e+00,2.214143e+00,4.816133e+00,4.835920e+00,4.906865e+00,4.930475e+00,4.883951e+00,4.907618e+00,4.580408e+00,4.586921e+00,4.606095e+00,4.612617e+00,4.636823e+00,4.648687e+00,4.727619e+00,4.743298e+00,4.818456e+00,4.838200e+00,4.909535e+00,4.933159e+00,4.886684e+00,4.910362e+00,4.581163e+00,4.587862e+00
Canada,3.370153e+00,3.370256e+00,4.145626e+00,4.145600e+00,3.088648e+00,3.088669e+00,6.876609e+00,6.888399e+00,7.348231e+00,7.360962e+00,7.365633e+00,7.378302e+00,5.720782e+00,5.725583e+00,5.721179e+00,5.726375e+00,5.935081e+00,5.944750e+00,6.407086e+00,6.416758e+00,6.878452e+00,6.889444e+00,7.349641e+00,7.362296e+00,7.367014e+00,7.379603e+00,5.719017e+00,5.725557e+00
Mexico,2.584429e+00,2.584361e+00,3.473048e+00,3.472776e+00,2.092543e+00,2.092429e+00,5.033109e+00,5.064102e+00,5.392309e+00,5.423875e+00,5.387209e+00,5.418874e+00,4.041263e+00,4.063092e+00,4.048902e+00,4.071311e+00,4.315926e+00,4.344295e+00,4.675305e+00,4.703303e+00,5.033687e+00,5.063114e+00,5.391263e+00,5.422676e+00,5.386135e+00,5.417625e+00,4.037819e+00,4.062568e+00
Rest of Central America,3.794342e+00,3.794415e+00,4.997929e+00,4.997721e+00,2.768642e+00,2.768168e+00,6.514942e+00,6.548718e+00,7.136908e+00,7.170131e+00,6.853830e+00,6.884267e+00,4.702016e+00,4.722250e+00,4.919952e+00,4.942637e+00,5.158374e+00,5.190856e+00,5.787195e+00,5.816443e+00,6.411713e+00,6.442843e+00,7.037019e+00,7.069196e+00,6.777385e+00,6.806887e+00,4.599938e+00,4.623338e+00
Brazil,1.997853e+00,1.998255e+00,2.806232e+00,2.806484e+00,1.591312e+00,1.591554e+00,5.705130e+00,5.789137e+00,6.250496e+00,6.339341e+00,6.241724e+00,6.330799e+00,4.189537e+00,4.253149e+00,4.201460e+00,4.264294e+00,4.610928e+00,4.686860e+00,5.154335e+00,5.233712e+00,5.698775e+00,5.782506e+00,6.242311e+00,6.331222e+00,6.233713e+00,6.322808e+00,4.186737e+00,4.251601e+00
Rest of South America,4.317733e+00,4.317908e+00,5.376490e+00,5.376627e+00,2.616669e+00,2.616726e+00,7.951016e+00,7.974875e+00,8.897162e+00,8.921451e+00,8.602211e+00,8.626310e+00,5.130551e+00,5.147021e+00,6.379343e+00,6.395977e+00,7.126816e+00,7.149479e+00,8.285104e+00,8.307904e+00,9.443245e+00,9.466650e+00,1.060114e+01,1.062532e+01,1.026415e+01,1.028813e+01,5.986793e+00,6.004663e+00
