 NOx reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
Russia,1.112084e-02,2.011794e-03,6.919430e-03,7.223233e-03,2.696826e-02,7.193512e-03,3.087536e-02,1.811700e-03,8.522249e-03,1.672987e-02,1.325453e-02,1.421254e-02,1.404700e-02,1.439189e-02,7.356987e-03,7.916149e-03,7.433635e-03,7.584344e-03,3.068060e-02,2.001149e-03,8.605685e-03,1.630398e-02,1.421753e-02,1.450021e-02
Rest of FSU,3.992404e-01,3.771536e-01,3.366942e-01,3.159870e-01,3.149851e-01,2.827079e-01,1.461985e+00,8.311722e-01,2.548635e-01,2.718227e-01,1.520840e+00,8.574709e-01,7.521651e-01,7.290772e-01,6.091536e-01,5.929393e-01,5.139121e-01,4.774560e-01,1.363136e+00,8.726144e-01,4.456205e-01,4.571434e-01,1.551715e+00,8.925190e-01
Iran,6.293235e-05,5.628893e-05,5.286355e-05,8.602639e-05,1.057848e-04,8.580968e-05,2.582306e-04,4.697086e-05,6.878354e-05,1.505263e-04,6.440985e-05,1.276476e-04,6.428247e-05,1.401299e-04,5.296073e-05,8.742866e-05,5.562222e-05,8.579825e-05,2.657258e-04,4.709089e-05,7.149396e-05,1.577360e-04,6.459855e-05,1.240728e-04
UAE,6.219796e+00,5.688989e+00,5.561152e+00,5.046220e+00,5.360512e+00,4.514703e+00,4.005903e+00,3.721515e+00,3.730506e+00,4.258964e+00,6.196385e+00,5.276183e+00,6.259557e+00,5.726072e+00,5.590301e+00,5.072149e+00,5.363763e+00,4.517958e+00,4.009386e+00,3.724800e+00,3.733572e+00,4.261990e+00,6.237309e+00,5.279696e+00
Middle East,6.862026e+00,6.609092e+00,6.414538e+00,6.139205e+00,6.197079e+00,5.803591e+00,7.977322e+00,6.546523e+00,5.447455e+00,5.803041e+00,8.871486e+00,7.057332e+00,5.525818e+00,5.310989e+00,5.293412e+00,5.033381e+00,5.236918e+00,4.902159e+00,6.304896e+00,5.320899e+00,4.599547e+00,4.976366e+00,6.833387e+00,5.802742e+00
Rest of OPEC,8.617979e+00,8.464534e+00,8.266204e+00,8.118736e+00,8.042218e+00,7.808657e+00,7.871982e+00,7.653487e+00,7.610908e+00,8.075442e+00,8.683206e+00,8.312229e+00,7.344896e+00,7.219858e+00,7.069741e+00,6.947012e+00,6.899609e+00,6.708651e+00,6.786742e+00,6.604129e+00,6.548588e+00,6.937108e+00,7.432155e+00,7.124568e+00
Nigeria,3.864616e+00,3.711342e+00,2.929544e+00,2.807982e+00,2.271355e+00,1.999962e+00,1.820434e+00,1.768559e+00,1.734208e+00,1.885477e+00,3.904838e+00,2.271589e+00,3.872522e+00,3.720375e+00,2.936412e+00,2.814254e+00,2.272793e+00,2.002699e+00,1.823250e+00,1.771206e+00,1.736541e+00,1.888149e+00,3.913832e+00,2.275216e+00
South Africa,3.370266e+00,3.320586e+00,3.119276e+00,3.062135e+00,2.923781e+00,2.838419e+00,6.590361e+00,4.640576e+00,2.784463e+00,2.935575e+00,7.058597e+00,4.823361e+00,3.372395e+00,3.323083e+00,3.120990e+00,3.063572e+00,2.923692e+00,2.838568e+00,6.592235e+00,4.641882e+00,2.784585e+00,2.935503e+00,7.066105e+00,4.826173e+00
Rest of Africa,1.545790e+00,1.524749e+00,1.406118e+00,1.398704e+00,1.354792e+00,1.304777e+00,1.279896e+00,1.263739e+00,1.262765e+00,1.324835e+00,1.542530e+00,1.369656e+00,1.507896e+00,1.488531e+00,1.382502e+00,1.374187e+00,1.337906e+00,1.290656e+00,1.270827e+00,1.253291e+00,1.251199e+00,1.311513e+00,1.504748e+00,1.353332e+00
Italy,4.926644e+00,4.760391e+00,4.543603e+00,4.323001e+00,4.342124e+00,3.988381e+00,4.703437e+00,4.194517e+00,3.687938e+00,3.732098e+00,5.924196e+00,4.688846e+00,4.928619e+00,4.761689e+00,4.547315e+00,4.325361e+00,4.344291e+00,3.990431e+00,4.705974e+00,4.196706e+00,3.689736e+00,3.730625e+00,5.927073e+00,4.691025e+00
