 NOx reduction( Mt ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
Rest of OPEC,1.489518e-01,1.462997e-01,1.428718e-01,1.403229e-01,1.361122e-01,1.361163e-01,1.360581e-01,1.322817e-01,1.315457e-01,1.395747e-01,1.500791e-01,1.436672e-01,1.269480e-01,1.247869e-01,1.221923e-01,1.200710e-01,1.168725e-01,1.168764e-01,1.173010e-01,1.141447e-01,1.131848e-01,1.198999e-01,1.284562e-01,1.231399e-01
Nigeria,1.799834e-02,1.728451e-02,1.364351e-02,1.307737e-02,9.764472e-03,9.763870e-03,8.478149e-03,8.236554e-03,8.076576e-03,8.781067e-03,1.818566e-02,1.057927e-02,1.803516e-02,1.732658e-02,1.367549e-02,1.310658e-02,9.778630e-03,9.777617e-03,8.491261e-03,8.248880e-03,8.087438e-03,8.793511e-03,1.822755e-02,1.059616e-02
South Africa,3.795566e-02,3.739616e-02,3.512902e-02,3.448551e-02,3.223668e-02,3.223946e-02,7.422009e-02,5.226178e-02,3.135839e-02,3.306020e-02,7.949333e-02,5.432029e-02,3.797963e-02,3.742428e-02,3.514833e-02,3.450169e-02,3.223871e-02,3.224133e-02,7.424120e-02,5.227649e-02,3.135977e-02,3.305939e-02,7.957788e-02,5.435196e-02
Rest of Africa,2.307722e-02,2.276309e-02,2.099204e-02,2.088136e-02,1.958141e-02,1.958222e-02,1.910767e-02,1.886646e-02,1.885192e-02,1.977857e-02,2.302856e-02,2.044771e-02,2.251149e-02,2.222240e-02,2.063948e-02,2.051535e-02,1.936401e-02,1.936460e-02,1.897228e-02,1.871048e-02,1.867925e-02,1.957968e-02,2.246450e-02,2.020400e-02
Italy,6.059393e-02,5.854914e-02,5.588282e-02,5.316958e-02,5.117533e-02,5.117605e-02,5.784865e-02,5.158933e-02,4.535880e-02,4.590193e-02,7.286305e-02,5.766919e-02,6.061821e-02,5.856511e-02,5.592847e-02,5.319861e-02,5.120166e-02,5.120230e-02,5.787986e-02,5.161625e-02,4.538091e-02,4.588382e-02,7.289843e-02,5.769600e-02
France,4.263309e-02,4.049130e-02,4.265028e-02,3.917357e-02,4.052409e-02,4.052503e-02,4.473845e-02,4.059528e-02,3.646586e-02,3.668579e-02,5.088033e-02,4.479195e-02,4.264146e-02,4.050105e-02,4.266048e-02,3.918282e-02,4.053572e-02,4.053662e-02,4.475705e-02,4.060993e-02,3.647584e-02,3.668565e-02,5.089496e-02,4.480851e-02
Germany,2.832343e-02,2.697143e-02,2.900994e-02,2.564655e-02,2.744619e-02,2.744630e-02,4.067312e-02,3.215560e-02,2.418554e-02,2.679347e-02,4.485512e-02,3.720879e-02,2.830984e-02,2.695802e-02,2.901182e-02,2.564602e-02,2.746212e-02,2.746217e-02,4.072997e-02,3.219120e-02,2.419852e-02,2.674147e-02,4.488208e-02,3.724500e-02
Spain,6.007810e-02,5.841191e-02,5.603154e-02,5.403382e-02,5.157625e-02,5.157787e-02,6.279676e-02,5.550678e-02,4.822620e-02,4.829660e-02,7.449848e-02,5.881940e-02,6.009550e-02,5.842215e-02,5.606312e-02,5.405082e-02,5.158537e-02,5.158694e-02,6.281343e-02,5.551875e-02,4.823298e-02,4.829579e-02,7.452862e-02,5.883000e-02
UK,8.484866e-02,8.013052e-02,8.051660e-02,7.407280e-02,7.364523e-02,7.364625e-02,8.151229e-02,7.206493e-02,6.374283e-02,6.497351e-02,1.018087e-01,8.283158e-02,8.488852e-02,8.016471e-02,8.056839e-02,7.411348e-02,7.367636e-02,7.367736e-02,8.154570e-02,7.209693e-02,6.377302e-02,6.500032e-02,1.018529e-01,8.286341e-02
Scandinavia,1.773946e-02,1.784664e-02,1.781930e-02,1.782686e-02,1.783244e-02,1.783319e-02,2.698371e-02,2.233526e-02,1.791559e-02,2.334657e-02,2.681343e-02,2.720449e-02,1.876069e-02,1.874208e-02,1.901746e-02,1.875340e-02,1.891520e-02,1.891595e-02,2.798332e-02,2.332093e-02,1.888507e-02,2.424396e-02,2.783316e-02,2.825677e-02
Rest of EU,1.151368e-01,1.098914e-01,1.156461e-01,1.060766e-01,1.104175e-01,1.104197e-01,1.638042e-01,1.312295e-01,9.959633e-02,1.045418e-01,1.768365e-01,1.447213e-01,1.055122e-01,1.009491e-01,1.057729e-01,9.769995e-02,1.012816e-01,1.012838e-01,1.485893e-01,1.198856e-01,9.204433e-02,9.645012e-02,1.597391e-01,1.313981e-01
Rest of Europe,5.877105e-03,5.334630e-03,5.930298e-03,5.073007e-03,5.249940e-03,5.250553e-03,7.053188e-03,5.724390e-03,4.426648e-03,4.569045e-03,8.407660e-03,6.535391e-03,3.348932e-03,3.072154e-03,3.371861e-03,2.933980e-03,3.055625e-03,3.056185e-03,3.808136e-03,3.211127e-03,2.635061e-03,2.782477e-03,4.450586e-03,3.642695e-03
USA,7.380107e-01,7.279802e-01,7.300000e-01,7.194652e-01,7.170289e-01,7.170347e-01,9.300000e-01,8.200000e-01,7.100000e-01,7.100000e-01,9.500000e-01,8.254827e-01,7.378910e-01,7.278733e-01,7.300000e-01,7.193933e-01,7.169807e-01,7.169866e-01,9.300000e-01,8.200000e-01,7.100000e-01,7.100000e-01,9.500000e-01,8.254386e-01
Canada,1.230642e-01,1.210306e-01,1.212328e-01,1.175039e-01,1.191444e-01,1.191467e-01,1.347348e-01,1.235040e-01,1.129259e-01,1.196957e-01,1.424125e-01,1.347902e-01,1.230852e-01,1.210562e-01,1.212338e-01,1.175147e-01,1.191457e-01,1.191479e-01,1.347355e-01,1.235048e-01,1.129267e-01,1.196971e-01,1.424337e-01,1.347913e-01
Mexico,2.056330e-01,2.046574e-01,2.000784e-01,1.983165e-01,1.949361e-01,1.949384e-01,2.090386e-01,1.998320e-01,1.906425e-01,1.935982e-01,2.239534e-01,2.068205e-01,2.056032e-01,2.046347e-01,2.000630e-01,1.983015e-01,1.949369e-01,1.949390e-01,2.090376e-01,1.998316e-01,1.906428e-01,1.935951e-01,2.239190e-01,2.068136e-01
Rest of Central America,4.657199e-02,4.446030e-02,4.144397e-02,3.939626e-02,3.597615e-02,3.597631e-02,5.120502e-02,4.103848e-02,3.200387e-02,3.391688e-02,5.905449e-02,4.415217e-02,5.058523e-02,4.832040e-02,4.470792e-02,4.256033e-02,3.849448e-02,3.849442e-02,5.573235e-02,4.438412e-02,3.422437e-02,3.605485e-02,6.470000e-02,4.754805e-02
Brazil,1.925586e-01,1.861158e-01,1.924074e-01,1.839375e-01,1.858298e-01,1.858358e-01,1.810232e-01,1.783591e-01,1.764139e-01,1.832518e-01,1.964223e-01,1.939065e-01,1.925763e-01,1.861313e-01,1.923965e-01,1.839370e-01,1.858069e-01,1.858127e-01,1.810003e-01,1.783371e-01,1.763928e-01,1.832291e-01,1.964379e-01,1.938809e-01
Rest of South America,1.882851e-01,1.831490e-01,1.686623e-01,1.635147e-01,1.479159e-01,1.479198e-01,1.511087e-01,1.443222e-01,1.381409e-01,1.568370e-01,1.982389e-01,1.694126e-01,2.157973e-01,2.099095e-01,1.927606e-01,1.869092e-01,1.684052e-01,1.684091e-01,1.727899e-01,1.646604e-01,1.571783e-01,1.772332e-01,2.279935e-01,1.922290e-01
