SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24
Iran,8.341245e-05,7.460705e-05,7.006695e-05,1.140220e-04,1.402103e-04,1.137348e-04,3.088033e-04,6.225660e-05,8.824891e-05,1.933888e-04,8.537077e-05,1.691881e-04,8.520194e-05,1.857324e-04,7.019576e-05,1.158806e-04,7.372338e-05,1.137196e-04,3.141569e-04,6.241569e-05,9.133400e-05,2.017511e-04,8.562088e-05,1.644499e-04
UAE,5,4.500000e+00,4.100000e+00,3.659654e+00,3.757879e+00,2.992166e+00,2.408436e+00,2.271731e+00,2.277200e+00,2.824711e+00,4.987119e+00,3.738319e+00,5.067051e+00,4.581160e+00,4.172827e+00,3.700000e+00,3.761817e+00,2.995992e+00,2.412571e+00,2.275614e+00,2.280821e+00,2.828298e+00,5.049265e+00,3.742441e+00
Middle East,2.535176e+00,2.226679e+00,2.081376e+00,1.743223e+00,1.883313e+00,1.431538e+00,5.335942e+00,2.891688e+00,1.011565e+00,1.319453e+00,5.975656e+00,3.211235e+00,1.784136e+00,1.520355e+00,1.547295e+00,1.231813e+00,1.511191e+00,1.124131e+00,3.682243e+00,2.000037e+00,7.644038e-01,1.097266e+00,4.026555e+00,2.302630e+00
Rest of OPEC,2.372702e+00,2.150504e+00,1.988426e+00,1.763426e+00,1.747330e+00,1.432353e+00,1.835993e+00,1.272085e+00,1.141391e+00,1.541782e+00,2.587335e+00,1.884163e+00,1.767823e+00,1.579651e+00,1.464283e+00,1.270192e+00,1.280826e+00,1.013557e+00,1.397725e+00,9.291481e-01,7.667989e-01,1.091654e+00,2.008881e+00,1.378379e+00
Nigeria,2.569199e+00,2.485236e+00,1.453984e+00,1.385465e+00,6.379284e-01,4.817353e-01,7.307842e-01,5.030267e-01,3.282878e-01,4.265845e-01,2.820839e+00,7.574786e-01,2.578651e+00,2.495378e+00,1.462178e+00,1.393266e+00,6.396718e-01,4.842356e-01,7.337158e-01,5.057893e-01,3.306851e-01,4.290007e-01,2.832049e+00,7.605552e-01
South Africa,5.102851e-01,4.747022e-01,3.547501e-01,3.165379e-01,2.373342e-01,1.842500e-01,5.309203e+00,2.660035e+00,1.365626e-01,1.961764e-01,5.524702e+00,2.718915e+00,5.118546e-01,4.764174e-01,3.560164e-01,3.176642e-01,2.372504e-01,1.843513e-01,5.311662e+00,2.661703e+00,1.366403e-01,1.960781e-01,5.533539e+00,2.722606e+00
Rest of Africa,5.961238e-01,5.248781e-01,4.202470e-01,3.530055e-01,3.633303e-01,2.479728e-01,1.933995e-01,1.491430e-01,1.429830e-01,2.000597e-01,5.927903e-01,3.270403e-01,5.562294e-01,4.889728e-01,3.972085e-01,3.307849e-01,3.457146e-01,2.359943e-01,1.925338e-01,1.456148e-01,1.367124e-01,1.912898e-01,5.530153e-01,3.113167e-01
Italy,2.915407e+00,2.850948e+00,2.463203e+00,2.349870e+00,2.205982e+00,1.960297e+00,3.299492e+00,2.520560e+00,1.745209e+00,1.773223e+00,4.442121e+00,2.898807e+00,2.918922e+00,2.853669e+00,2.469304e+00,2.354176e+00,2.210123e+00,1.964184e+00,3.304273e+00,2.524732e+00,1.748705e+00,1.772002e+00,4.447193e+00,2.902957e+00
France,1.441135e+00,1.305576e+00,1.444297e+00,1.214342e+00,1.447376e+00,1.217514e+00,2.019123e+00,1.512513e+00,1.007681e+00,1.025778e+00,2.449487e+00,1.824881e+00,1.442552e+00,1.307044e+00,1.446076e+00,1.215944e+00,1.449405e+00,1.219480e+00,2.021999e+00,1.514890e+00,1.009471e+00,1.026128e+00,2.451701e+00,1.827459e+00
Germany,6.919236e-01,6.196591e-01,7.290009e-01,5.579736e-01,7.218916e-01,5.950621e-01,1.649395e+00,1.046339e+00,4.818444e-01,6.255350e-01,1.863514e+00,1.296002e+00,6.904648e-01,6.181677e-01,7.291877e-01,5.579044e-01,7.235825e-01,5.966373e-01,1.653896e+00,1.049324e+00,4.832173e-01,6.215136e-01,1.864950e+00,1.298991e+00
Spain,3.259511e+00,3.167240e+00,2.724461e+00,2.602304e+00,2.377482e+00,2.163696e+00,4.251878e+00,3.107478e+00,1.964715e+00,1.973729e+00,5.522252e+00,3.400371e+00,3.261846e+00,3.168750e+00,2.729254e+00,2.605162e+00,2.379201e+00,2.165349e+00,4.254866e+00,3.109694e+00,1.966084e+00,1.973864e+00,5.526729e+00,3.402299e+00
