SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Rest of FSU,8.682589e-01,8.682742e-01,1.106115e+00,1.105934e+00,6.434114e-01,6.429674e-01,2.475335e+00,2.513740e+00,2.652724e+00,2.688460e+00,2.622878e+00,2.659176e+00,2.042135e+00,2.083645e+00,1.357586e+00,1.395891e+00,1.391227e+00,1.434555e+00,1.516365e+00,1.555058e+00,1.638994e+00,1.676883e+00,1.759052e+00,1.798048e+00,1.736263e+00,1.776208e+00,1.330270e+00,1.370044e+00
Iran,1.045862e-03,1.045862e-03,1.045862e-03,1.045862e-03,4.051465e-03,1.045862e-03,9.060226e-02,1.916950e-01,8.129475e-02,1.757989e-01,8.625607e-02,1.821695e-01,1.409057e-01,2.588660e-01,1.277607e-01,2.535448e-01,1.259276e-01,2.295811e-01,1.282594e-01,2.133037e-01,1.036341e-01,1.981019e-01,9.222142e-02,1.833971e-01,9.633708e-02,1.895737e-01,1.306367e-01,2.598971e-01
UAE,2.227081e+00,2.226844e+00,3.008614e+00,3.008350e+00,2.277133e+00,2.276511e+00,6.049427e+00,6.099782e+00,6.300556e+00,6.357221e+00,5.299061e+00,5.356418e+00,4.793574e+00,4.820209e+00,5.810441e+00,5.830839e+00,5.859624e+00,5.884297e+00,5.930705e+00,5.962382e+00,6.068477e+00,6.116907e+00,6.320546e+00,6.376778e+00,5.317198e+00,5.374197e+00,4.796260e+00,4.825471e+00
Middle East,1.688274e+00,1.688301e+00,2.124821e+00,2.124827e+00,1.667403e+00,1.667380e+00,6.632369e+00,6.650247e+00,6.895387e+00,6.913948e+00,6.687011e+00,6.705270e+00,5.854372e+00,5.865866e+00,4.424262e+00,4.436076e+00,4.434256e+00,4.448497e+00,4.578410e+00,4.594652e+00,4.756175e+00,4.773355e+00,4.933811e+00,4.952171e+00,4.766153e+00,4.784230e+00,4.228747e+00,4.243000e+00
Rest of OPEC,1.368424e+00,1.368441e+00,1.683714e+00,1.683675e+00,1.295786e+00,1.295737e+00,3.080108e+00,3.150300e+00,3.255365e+00,3.322325e+00,3.149793e+00,3.216514e+00,2.530585e+00,2.601654e+00,2.138928e+00,2.210279e+00,2.228684e+00,2.302349e+00,2.399936e+00,2.468691e+00,2.569565e+00,2.636349e+00,2.738070e+00,2.803739e+00,2.632484e+00,2.698662e+00,2.025610e+00,2.097845e+00
Nigeria,2.325536e+00,2.324120e+00,2.540357e+00,2.538884e+00,1.660499e+00,1.659588e+00,6.371238e+00,6.525523e+00,7.694821e+00,7.847335e+00,7.559464e+00,7.712191e+00,2.721560e+00,2.851674e+00,2.914173e+00,3.046318e+00,3.735275e+00,3.878247e+00,5.063954e+00,5.199275e+00,6.379174e+00,6.526500e+00,7.698055e+00,7.848885e+00,7.562519e+00,7.713716e+00,2.715246e+00,2.850007e+00
South Africa,5.127477e-01,5.083533e-01,8.261862e-01,8.258090e-01,3.773187e-01,3.742251e-01,4.376539e+00,4.645190e+00,4.531312e+00,4.799768e+00,4.507394e+00,4.775884e+00,3.974592e+00,4.241957e+00,3.999979e+00,4.268427e+00,4.078592e+00,4.337171e+00,4.241281e+00,4.493814e+00,4.388521e+00,4.650657e+00,4.540206e+00,4.806431e+00,4.515719e+00,4.782323e+00,3.969871e+00,4.241941e+00
Rest of Africa,9.099963e-01,9.100942e-01,1.088004e+00,1.087989e+00,6.904094e-01,6.901192e-01,1.940957e+00,1.960982e+00,2.236918e+00,2.257515e+00,2.096675e+00,2.117658e+00,1.096459e+00,1.107111e+00,1.119953e+00,1.130786e+00,1.203872e+00,1.218948e+00,1.443543e+00,1.461982e+00,1.692889e+00,1.712311e+00,1.941756e+00,1.962500e+00,1.819010e+00,1.840099e+00,9.808961e-01,9.939872e-01
Italy,2.676047e+00,2.676074e+00,2.860749e+00,2.860771e+00,2.281301e+00,2.281306e+00,8.559635e+00,8.598010e+00,9.370595e+00,9.411068e+00,9.318619e+00,9.359184e+00,6.316470e+00,6.344377e+00,6.375167e+00,6.403098e+00,6.947944e+00,6.982058e+00,7.761812e+00,7.796643e+00,8.575082e+00,8.612370e+00,9.387847e+00,9.428147e+00,9.335888e+00,9.376274e+00,6.318468e+00,6.348514e+00
France,1.591939e+00,1.591971e+00,2.128679e+00,2.128699e+00,1.179004e+00,1.179007e+00,7.106476e+00,7.145885e+00,8.230404e+00,8.274932e+00,8.089051e+00,8.133682e+00,3.932015e+00,3.947398e+00,4.083466e+00,4.099189e+00,4.873792e+00,4.903317e+00,6.003875e+00,6.037407e+00,7.133595e+00,7.172430e+00,8.263133e+00,8.307589e+00,8.121534e+00,8.166108e+00,3.934574e+00,3.951411e+00
