SO2 reduction (%),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
South Africa,6.130974e+00,6.377903e+00,5.984679e+00,6.227299e+00,5.890867e+00,6.113083e+00,6.081708e+00,6.328240e+00,3.371680e+00,3.595265e+00,6.113456e+00,6.362377e+00,5.874804e+00,6.097487e+00,6.135444e+00,6.376890e+00,5.988510e+00,6.227807e+00,5.893741e+00,6.112559e+00,6.085543e+00,6.326772e+00,3.375597e+00,3.595812e+00,6.119385e+00,6.361337e+00,5.877701e+00,6.096971e+00
Rest of Africa,1.358571e+00,1.394665e+00,1.144210e+00,1.182189e+00,1.067286e+00,1.092471e+00,1.303603e+00,1.342242e+00,1.195090e+00,1.212912e+00,1.304805e+00,1.343269e+00,1.000577e+00,1.026115e+00,1.136477e+00,1.171389e+00,9.484752e-01,9.850310e-01,8.902300e-01,9.145985e-01,1.086920e+00,1.121451e+00,1.053649e+00,1.070621e+00,1.088856e+00,1.124096e+00,8.304080e-01,8.550295e-01
Italy,5.825161e+00,5.860194e+00,5.232797e+00,5.267290e+00,4.754559e+00,4.784577e+00,5.584142e+00,5.618977e+00,4.948896e+00,4.981134e+00,5.801821e+00,5.837058e+00,4.733910e+00,4.763993e+00,5.831801e+00,5.866144e+00,5.238921e+00,5.272990e+00,4.758749e+00,4.788314e+00,5.589534e+00,5.623705e+00,4.955053e+00,4.986830e+00,5.809116e+00,5.843518e+00,4.738454e+00,4.768080e+00
France,4.447609e+00,4.472415e+00,3.953015e+00,3.977467e+00,3.762651e+00,3.778826e+00,4.211529e+00,4.236528e+00,3.703368e+00,3.726312e+00,4.332458e+00,4.357309e+00,3.659941e+00,3.676101e+00,4.457219e+00,4.481652e+00,3.962031e+00,3.986284e+00,3.767131e+00,3.783093e+00,4.219683e+00,4.244284e+00,3.712509e+00,3.735228e+00,4.342433e+00,4.366861e+00,3.664603e+00,3.680569e+00
Germany,2.075958e+00,2.080155e+00,2.075949e+00,2.079669e+00,2.085668e+00,2.088992e+00,1.897035e+00,1.901176e+00,1.525149e+00,1.528581e+00,1.989736e+00,1.994021e+00,2.002884e+00,2.006216e+00,2.081393e+00,2.085401e+00,2.081183e+00,2.084795e+00,2.090910e+00,2.094107e+00,1.901543e+00,1.905503e+00,1.530178e+00,1.533479e+00,1.995593e+00,1.999609e+00,2.008442e+00,2.011646e+00
Spain,7.372286e+00,7.440429e+00,6.559924e+00,6.629280e+00,5.950356e+00,6.011693e+00,7.122432e+00,7.190544e+00,6.059882e+00,6.100000e+00,7.349685e+00,7.418185e+00,5.929451e+00,5.990925e+00,7.375792e+00,7.443222e+00,6.563494e+00,6.632652e+00,5.952544e+00,6.013605e+00,7.125117e+00,7.192571e+00,6.063144e+00,6.100000e+00,7.353665e+00,7.421214e+00,5.931793e+00,5.992981e+00
UK,7.186199e+00,7.203849e+00,6.953653e+00,6.971033e+00,6.870465e+00,6.885463e+00,6.670587e+00,6.688389e+00,5.639667e+00,5.656024e+00,7.171743e+00,7.189512e+00,6.858694e+00,6.873766e+00,7.191741e+00,7.209089e+00,6.959137e+00,6.976361e+00,6.875019e+00,6.889856e+00,6.675333e+00,6.692852e+00,5.644998e+00,5.661152e+00,7.177555e+00,7.194978e+00,6.863399e+00,6.878307e+00
Scandinavia,3.620427e+00,3.655277e+00,3.618145e+00,3.652495e+00,3.630667e+00,3.659928e+00,3.517225e+00,3.552182e+00,3.184231e+00,3.216329e+00,3.135378e+00,3.165049e+00,3.170305e+00,3.194465e+00,3.708547e+00,3.742757e+00,3.707731e+00,3.741690e+00,3.722084e+00,3.750971e+00,3.594085e+00,3.628256e+00,3.264474e+00,3.296148e+00,3.216960e+00,3.245955e+00,3.252877e+00,3.276712e+00
Rest of EU,6.186922e+00,6.214867e+00,6.138131e+00,6.164671e+00,6.140533e+00,6.165882e+00,5.994203e+00,6.022073e+00,3.838586e+00,3.864732e+00,6.144741e+00,6.172695e+00,6.103542e+00,6.128873e+00,5.835592e+00,5.863126e+00,5.757143e+00,5.783443e+00,5.755303e+00,5.780366e+00,5.652324e+00,5.679796e+00,3.628443e+00,3.654308e+00,5.804917e+00,5.832430e+00,5.729106e+00,5.754151e+00
Rest of Europe,5.324255e+00,5.400626e+00,5.332637e+00,5.406368e+00,5.340873e+00,5.409452e+00,4.758462e+00,4.834613e+00,3.435861e+00,3.503847e+00,5.180532e+00,5.256645e+00,5.197805e+00,5.266315e+00,3.045161e+00,3.119977e+00,3.046903e+00,3.120749e+00,3.055851e+00,3.123496e+00,2.757910e+00,2.834277e+00,1.923824e+00,1.990878e+00,2.982245e+00,3.057031e+00,2.993365e+00,3.060935e+00
USA,5.248919e+00,5.255231e+00,5.242324e+00,5.248322e+00,5.245554e+00,5.251344e+00,5.215288e+00,5.221597e+00,3.036892e+00,3.042759e+00,5.247915e+00,5.254245e+00,5.244621e+00,5.250415e+00,5.249193e+00,5.255403e+00,5.242716e+00,5.248654e+00,5.245923e+00,5.251641e+00,5.215448e+00,5.221657e+00,3.037121e+00,3.042919e+00,5.248262e+00,5.254477e+00,5.245037e+00,5.250760e+00
Canada,7.001258e+00,7.011690e+00,6.775550e+00,6.785651e+00,6.674718e+00,6.681152e+00,6.853864e+00,6.864623e+00,4.941966e+00,4.950853e+00,6.664214e+00,6.674808e+00,6.388246e+00,6.394681e+00,7.001334e+00,7.011356e+00,6.775688e+00,6.785541e+00,6.674852e+00,6.681038e+00,6.853890e+00,6.864235e+00,4.942030e+00,4.950632e+00,6.664478e+00,6.674496e+00,6.388379e+00,6.394566e+00
Mexico,5.265684e+00,5.332671e+00,5.103808e+00,5.169690e+00,4.959787e+00,5.020261e+00,5.224113e+00,5.290660e+00,3.194886e+00,3.256084e+00,5.246214e+00,5.313767e+00,4.942456e+00,5.003150e+00,5.265316e+00,5.330838e+00,5.103623e+00,5.168591e+00,4.959867e+00,5.019341e+00,5.223734e+00,5.288873e+00,3.194515e+00,3.254735e+00,5.246206e+00,5.311926e+00,4.942535e+00,5.002214e+00
Rest of Central America,4.880146e+00,4.915340e+00,4.643696e+00,4.677183e+00,4.615253e+00,4.635195e+00,4.741742e+00,4.775932e+00,3.080293e+00,3.094719e+00,4.722856e+00,4.758718e+00,4.424092e+00,4.446198e+00,5.076806e+00,5.109537e+00,4.822546e+00,4.854509e+00,4.777601e+00,4.795923e+00,4.937285e+00,4.969124e+00,3.167904e+00,3.192235e+00,4.929105e+00,4.961290e+00,4.596268e+00,4.616371e+00
Brazil,3.032356e+00,3.115776e+00,3.031036e+00,3.113654e+00,3.030835e+00,3.110148e+00,2.922731e+00,3.006064e+00,2.633434e+00,2.712267e+00,3.000868e+00,3.084295e+00,2.999342e+00,3.078696e+00,3.030626e+00,3.113024e+00,3.029812e+00,3.111811e+00,3.030094e+00,3.108720e+00,2.921002e+00,3.003335e+00,2.631721e+00,2.709857e+00,2.999179e+00,3.081596e+00,2.998658e+00,3.077307e+00
Rest of South America,5.827050e+00,5.872501e+00,4.927631e+00,4.972407e+00,4.373116e+00,4.411406e+00,5.610175e+00,5.655379e+00,4.607986e+00,4.650016e+00,5.560452e+00,5.605824e+00,4.024678e+00,4.062767e+00,7.019925e+00,7.064460e+00,5.897812e+00,5.941991e+00,5.170380e+00,5.208057e+00,6.766435e+00,6.810746e+00,5.551509e+00,5.592951e+00,6.722519e+00,6.766827e+00,4.781006e+00,4.818478e+00
