GHG reduction( % ),Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28
Australia,2.895412e+00,2.944667e+00,2.895324e+00,2.939128e+00,2.895662e+00,2.937462e+00,2.568446e+00,2.617515e+00,2.405150e+00,2.451273e+00,2.803987e+00,2.853316e+00,2.803473e+00,2.845305e+00,2.907453e+00,2.955964e+00,2.899803e+00,2.943171e+00,2.899784e+00,2.941098e+00,2.578767e+00,2.627121e+00,2.417154e+00,2.462780e+00,2.815707e+00,2.864245e+00,2.807257e+00,2.848599e+00
Rest of Oceania,5.925799e+00,6.073880e+00,4.872651e+00,5.016440e+00,4.214108e+00,4.314105e+00,5.108561e+00,5.249496e+00,5.840234e+00,5.954691e+00,5.775091e+00,5.910484e+00,4.027832e+00,4.133741e+00,1.841002e+00,1.925767e+00,1.851766e+00,1.932589e+00,1.862401e+00,1.936534e+00,1.488253e+00,1.639867e+00,1.843855e+00,1.921788e+00,1.747014e+00,1.839825e+00,1.769746e+00,1.849896e+00
Russia,1.186010e-01,1.733682e+00,1.190450e-01,1.741880e+00,1.195133e-01,1.685618e+00,1.212736e-01,1.740097e+00,1.188461e-01,1.681801e+00,1.176093e-01,1.732221e+00,1.190069e-01,1.684448e+00,1.189717e-01,1.738994e+00,1.194197e-01,1.748631e+00,1.200219e-01,1.701319e+00,1.216865e-01,1.744978e+00,1.192044e-01,1.693879e+00,1.185326e-01,1.737647e+00,1.195740e-01,1.700174e+00
Rest of FSU,2.290131e+00,2.402985e+00,2.082177e+00,2.206406e+00,1.965309e+00,2.083816e+00,2.093668e+00,2.211347e+00,1.766899e+00,1.896798e+00,2.285012e+00,2.398368e+00,1.960846e+00,2.079390e+00,1.891894e+00,2.014962e+00,1.621452e+00,1.759426e+00,1.425780e+00,1.561164e+00,1.720115e+00,1.847505e+00,1.523275e+00,1.658949e+00,1.877060e+00,2.000560e+00,1.409206e+00,1.545040e+00
Iran,4.207245e-02,8.743793e-02,4.795919e-02,9.542250e-02,5.514040e-02,9.805722e-02,4.636650e-02,9.425517e-02,4.322997e-02,8.000701e-02,4.254361e-02,8.996444e-02,5.672358e-02,1.008134e-01,4.381784e-02,8.849108e-02,4.992292e-02,9.684170e-02,5.670846e-02,9.891911e-02,4.854905e-02,9.516812e-02,4.521276e-02,8.168167e-02,4.515223e-02,9.097493e-02,5.828160e-02,1.016401e-01
UAE,7.830091e+00,7.870351e+00,7.500000e+00,7.555011e+00,7.490205e+00,7.500000e+00,6.929691e+00,6.969673e+00,7.869760e+00,7.906198e+00,6.906078e+00,6.946909e+00,6.500000e+00,6.500000e+00,7.851054e+00,7.890430e+00,7.500000e+00,7.569166e+00,7.499567e+00,7.500000e+00,6.949327e+00,6.988461e+00,7.889887e+00,7.925754e+00,6.926247e+00,6.965835e+00,6.500000e+00,6.550413e+00
Middle East,5.448537e+00,5.465236e+00,5.207847e+00,5.222610e+00,5.162282e+00,5.175258e+00,4.699481e+00,4.716105e+00,4.916575e+00,4.932144e+00,5.259484e+00,5.275957e+00,4.947841e+00,4.960575e+00,3.754874e+00,3.769640e+00,3.714603e+00,3.729252e+00,3.731718e+00,3.744559e+00,3.136435e+00,3.151138e+00,3.380586e+00,3.394392e+00,3.573974e+00,3.588486e+00,3.545788e+00,3.559803e+00
Rest of OPEC,4.375500e+00,4.418493e+00,3.887137e+00,3.929520e+00,3.521749e+00,3.554906e+00,3.849359e+00,3.892160e+00,4.217047e+00,4.256910e+00,4.195730e+00,4.238388e+00,3.332640e+00,3.365386e+00,3.804620e+00,3.832654e+00,3.302708e+00,3.330495e+00,2.913741e+00,2.932721e+00,3.292370e+00,3.320247e+00,3.521449e+00,3.547015e+00,3.640182e+00,3.667820e+00,2.740797e+00,2.759392e+00
Nigeria,6.176071e+00,7.066749e+00,5.063527e+00,5.942356e+00,4.172959e+00,4.980926e+00,5.400873e+00,6.287789e+00,6.164826e+00,6.956258e+00,6.050367e+00,6.947651e+00,4.030280e+00,4.839943e+00,6.180156e+00,7.049432e+00,5.067448e+00,5.933154e+00,4.176755e+00,4.972250e+00,5.404759e+00,6.270934e+00,6.168759e+00,6.947824e+00,6.058910e+00,6.930341e+00,4.034106e+00,4.831229e+00
South Africa,5.578699e+00,5.727636e+00,4.998686e+00,5.145090e+00,4.636926e+00,4.777680e+00,5.083403e+00,5.236817e+00,4.332577e+00,4.467838e+00,5.490176e+00,5.640228e+00,4.548732e+00,4.689855e+00,5.584084e+00,5.729814e+00,5.003299e+00,5.147744e+00,4.639612e+00,4.777641e+00,5.088040e+00,5.238241e+00,4.337602e+00,4.470867e+00,5.496257e+00,5.642175e+00,4.551313e+00,4.689698e+00
Rest of Africa,1.540870e+00,1.566135e+00,1.092002e+00,1.119461e+00,8.200922e-01,8.541200e-01,1.327166e+00,1.355004e+00,1.527692e+00,1.550061e+00,1.489306e+00,1.516228e+00,7.667908e-01,8.011792e-01,1.342141e+00,1.366885e+00,9.537411e-01,9.802180e-01,7.388346e-01,7.716190e-01,1.150227e+00,1.174865e+00,1.334812e+00,1.356280e+00,1.296227e+00,1.321098e+00,6.910431e-01,7.241272e-01
Italy,6.067961e+00,6.099084e+00,5.271168e+00,5.301818e+00,4.620088e+00,4.645474e+00,5.326219e+00,5.357172e+00,5.365429e+00,5.394074e+00,5.985938e+00,6.017190e+00,4.540746e+00,4.566156e+00,6.074095e+00,6.104610e+00,5.276825e+00,5.307102e+00,4.623571e+00,4.648567e+00,5.330889e+00,5.361257e+00,5.371159e+00,5.399397e+00,5.992756e+00,6.023278e+00,4.544613e+00,4.569629e+00
